,model,run_type,accuracy,average precision,balanced accuracy,AUROC
23,FFNN_1,test,0.8932365303782958,0.22566545509303929,0.5475615232482676,0.6181895048305093
24,FFNN_1,train,0.9136764874469793,0.6051963113075858,0.6227614973813547,0.89640123344555
25,FFNN_1,test,0.8923958731371799,0.22900538374545806,0.5502608259694083,0.6066349451435005
26,FFNN_1,train,0.9271848370209026,0.6945693342360146,0.7059609787997385,0.9257593836096256
27,FFNN_1,test,0.8833014902560183,0.23061101083951363,0.5603872096850095,0.6144253062705886
28,FFNN_1,train,0.9072566777484811,0.5744181344547167,0.589229863035636,0.894523810819675
29,FFNN_1,test,0.8927015666794039,0.246365749994398,0.5494809624724334,0.6491186665887468
30,FFNN_1,train,0.9161794489663342,0.6850743173901599,0.6396862579377137,0.9289210623936879
31,FFNN_1,test,0.8902560183416125,0.23919189241594946,0.5576216239492373,0.626392727630636
32,FFNN_1,train,0.9162749818487523,0.6467914556055546,0.6539968703005385,0.9244351225487619
33,FFNN_1,test,0.8904852884982805,0.24966518505290228,0.5675756103112379,0.6281605925178626
34,FFNN_1,train,0.9062058160418817,0.5322854342781287,0.6012357848067099,0.8820286438485591
35,FFNN_1,test,0.8949942682460833,0.27372681212596156,0.5678793433829251,0.6540677778427108
36,FFNN_1,train,0.9202491497573465,0.6364175949686952,0.6932888647014512,0.9210049635137453
37,FFNN_1,test,0.8800152846771112,0.2492696311617644,0.5648879955462736,0.6447257175020992
38,FFNN_1,train,0.9129695441170851,0.6191241375064334,0.63202918580583,0.9120251235862449
39,FFNN_1,test,0.8928544134505159,0.2587708626002411,0.5606600311883883,0.650956843759708
40,FFNN_2,train,0.983969582330238,0.9314474409114406,0.9457256199022577,0.9669526698183519
41,FFNN_2,test,0.8683989300726023,0.20097147469892726,0.5615590810805823,0.635937297190892
42,FFNN_2,train,0.9813519813519813,0.9001592429169705,0.9455284973586617,0.9690278511149744
43,FFNN_2,test,0.8673290026748185,0.18975567073673777,0.5565231098575607,0.6393065658631709
44,FFNN_2,train,0.9846000993541977,0.9396916091094993,0.9464743972927782,0.9693359711200887
45,FFNN_2,test,0.8735957202904089,0.18921104238755043,0.5441809357131653,0.6216454796829489
46,FFNN_2,train,0.9827276548588024,0.9380902462806789,0.9425754183126025,0.9671731830071473
47,FFNN_2,test,0.869316010699274,0.21198800056318237,0.5696791348451807,0.6334883320363803
48,FFNN_2,train,0.9846192059306813,0.9408303664660842,0.9396733293740471,0.9687613023074864
